,iata,name,city,state,country,latitude,longitude
2079,LKV,Lake County,Lakeview,OR,USA,42.16111111,-120.39907029999999
2080,LLJ,Challis,Challis,ID,USA,44.52297806,-114.2175642
2081,LLQ,Monticello Municipal,Monticello,AR,USA,33.6385525,-91.75101833
2082,LLU,Lamar Municipal,Lamar,MO,USA,37.4894925,-94.31150444
2083,LMS,Louisville-Winston County,Louisville,MS,USA,33.14620944,-89.06247917
2084,LMT,Klamath Falls International,Klamath Falls,OR,USA,42.15614361,-121.7332081
2085,LNA,Palm Beach County Park,Lantana,FL,USA,26.593000000000004,-80.08505556
2086,LNC,Lancaster,Lancaster,TX,USA,32.57919111,-96.71905111
2087,LND,Hunt,Lander,WY,USA,42.81523611,-108.7298392
2088,LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925
2089,LNL,Kings Land O' Lakes,Land O' Lakes,WI,USA,46.15387722,-89.21194417
2090,LNN,Lost Nation,Willoughby,OH,USA,41.68391667,-81.39030556
2091,LNP,Lonesome Pine,Wise,VA,USA,36.98743194,-82.53017361
2092,LNS,Lancaster,Lancaster,PA,USA,40.12171528,-76.29609778
2093,LNY,Lanai,Lanai City,HI,USA,20.78561111,-156.95141809999998
2094,LOL,Derby,Lovelock,NV,USA,40.066404999999996,-118.56516640000001
2095,LOT,Lewis University,Chicago/Romeoville,IL,USA,41.60844444,-88.09094444
2096,LOU,Bowman,Louisville,KY,USA,38.228,-85.66372222
2097,LOZ,London-Corbin  Magee,London,KY,USA,37.08727778,-84.07677778
2098,LPC,Lompoc,Lompoc,CA,USA,34.66561028,-120.46678829999999
2099,LPR,Lorain Co Regional,Lorain/Elyria,OH,USA,41.34427778,-82.17763889
2100,LQK,Pickens County,Pickens,SC,USA,34.80997222,-82.70288889
2101,LQR,Larned-Pawnee County,Larned,KS,USA,38.20809667,-99.08607306
2102,LRD,Laredo International,Laredo,TX,USA,27.54373861,-99.46154361
2103,LRG,Lincoln Regional,Lincoln,ME,USA,45.36216083,-68.53474694
2104,LRJ,Le Mars Municipal,Le Mars,IA,USA,42.77801778,-96.19368944
2105,LRU,Las Cruces International,Las Cruces,NM,USA,32.28941667,-106.92197220000001
2106,LSB,Lordsburg Municipal,Lordsburg,NM,USA,32.33278083,-108.69097420000001
2107,LSE,La Crosse Municipal,La Crosse,WI,USA,43.87937972,-91.25653778
2108,LSK,Lusk Muni,Lusk,WY,USA,42.75380806,-104.4045536
2109,LSN,Los Banos Municipal,Los Banos,CA,USA,37.06290556,-120.8692511
2110,LUG,Ellington,Lewisburg,TN,USA,35.506975,-86.80388611
2111,LUK,Cincinnati Muni-Lunken,Cincinnati,OH,USA,39.10334417,-84.41861417
2112,LUL,Hesler-Noble,Laurel,MS,USA,31.67255139,-89.17222417
2113,LUP,Kalaupapa,Kalaupapa,HI,USA,21.21104028,-156.97359719999997
2114,LVJ,Clover,Houston,TX,USA,29.52130556,-95.24216667
2115,LVK,Livermore Municipal,Livermore,CA,USA,37.69339944,-121.8203519
